node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
99	Oediceroides_emarginatus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.69	8.647	6.4E+00	3
100	Oediceroides_calmani	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.70	8.647	8.1E-01	3
101	Maxilliphimedia_longipes	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.37	8.647	8.1E-01	3
102	Gnathiphimedia_mandibularis	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.00	8.647	3.7E+00	3
103	Echiniphimedia_hodgsoni	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.97	10.6	1.9E+00	3
104	Iphimediella__cyclogena	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.07	11.3	8.1E-01	3
105	Paraceradocus_gibber	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.75	8.647	6.4E+00	3
106	Liljeborgia_georgiana	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.44	8.647	5.9E-01	3
107	Momoculodes_scabriculosus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.00	8.647	4.7E-01	3
108	Uristes_gigas	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.83	8.647	5.9E-01	3
109	Eurythenes_gryllus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.40	8.5	5.0E+01	3
110	Bathypanoploea_schellenbergi	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.88	8.647	3.7E+00	3
111	Pseudorchomene_coatsi	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.00	9.3	4.7E-01	3
112	Heterophoxus_videns	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.46	8.647	3.1E-02	3
113	Haplocheira_plumosa	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.06	8.647	3.1E-02	3
114	Oradarea_edentata	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.06	8.647	3.1E-02	3
115	Djerboa_furcipes	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.06	4.9	3.1E-02	3
116	Rhachotropis_antarctica	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.90	8.647	1.8E-01	3
117	Themisto_gaudichaudii	Invertebrate	carnivorous	pelagic	predator	3.68	4.88	1.2E-01	3
118	Primno_macropa	Invertebrate	carnivorous	pelagic	predator	3.68	6.18	2.4E-01	3
119	Notocrangon_antarcticus	Invertebrate	omnivorous	benthic	predator	2.87	8.09	3.7E-01	3
120	Chorismus_antarcticus	Invertebrate	omnivorous	benthic	predator	3.14	7.03	2.1E-01	3
121	Nematocarcinus_lanceopes	Invertebrate	omnivorous	benthic	predator	2.41	7.822	1.2E+00	3
122	Rhincalanus_gigas	Invertebrate	omnivorous	pelagic	predator	2.06	3.033	2.0E-02	4
123	Calanus_propinquus	Invertebrate	omnivorous	pelagic	predator	2.08	3.709	5.7E-03	4
124	Calanoides_acutus	Invertebrate	omnivorous	pelagic	predator	2.11	3.852	5.5E-03	4
125	Metridia_gerlachei	Invertebrate	omnivorous	pelagic	predator	2.10	2.78	2.3E-03	4
126	Paraeuchaeta_antarctica	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.18	7	8.1E-03	4
127	Eucopia_australis	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.39	5.69	4.7E+00	4
128	Euchaetomera_antarcticus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.39	5.84	8.4E-02	4
129	Antarctomysis_maxima	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.39	6.36	1.3E+01	4
130	Ceratoserolis_meridionalis	Invertebrate	carnivorous	benthic	predator/scavenger	3.89	10.26	1.5E+01	2
131	Frontoserolis_bouvieri	Invertebrate	carnivorous	benthic	predator/scavenger	3.89	8.64	1.5E+01	2
132	Natatolana_obtusata	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	11.5	3.1E-02	3
133	Natatolana_oculata	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	11.28	3.1E-02	3
134	Natatolana_meridionalis	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	6.56	3.1E-02	3
135	Munna_globicauda	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	7.28	5.2E-03	3
136	Serolella_bouveri	Invertebrate	carnivorous	benthic	predator/scavenger	3.89	11.8	1.0E-01	2
137	Serolis_polita	Invertebrate	carnivorous	benthic	predator/scavenger	3.89	7.25	1.0E-01	2
138	Gnathia_calva	Invertebrate	carnivorous	benthic	predator/scavenger	3.68	8.64	1.6E-02	3
139	Glyptonotus_antarcticus	Invertebrate	carnivorous	benthic	predator/scavenger	3.83	8.23	5.0E+01	3
140	Austrosignum_grande	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	8.64	5.0E+01	3
141	Aega_antarctica	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	10.73	5.9E-01	3
142	Arcturidae	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	8.64	1.3E+00	3
143	Conchoecia_hettacra	Invertebrate	carnivorous	benthic	suspension-feeder	3.42	5.04	4.4E-04	3
144	Alacia_hettacra	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.06	4.9	4.4E-04	3
145	Alacia_belgicae	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.06	4.9	4.4E-04	3
146	Metaconchoecia_isocheira	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.06	4.9	4.4E-04	3
147	Boroecia_antipoda	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.06	4.9	4.4E-04	3
148	Conchoecia_antipoda	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.34	4.76	4.4E-04	3
149	Nototanais_antarcticus	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00		1.0E-01	3
150	Peraeospinosus_pushkini	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.36		1.0E-01	3
151	Nototanais_dimorphus	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00		1.0E-01	3
152	Eudorella_splendida	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	6.83	5.3E-02	3
153	Vaunthompsonia_indermis	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	6.83	5.3E-02	3
154	Camylaspis_maculata	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	6.83	5.3E-02	3
155	Diastylis_mawsoni	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	6.83	5.3E-02	3
156	Ekleptostylis_debroyeri	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	6.83	5.3E-02	3
157	Pentanymphon_antarcticum	Invertebrate	carnivorous	benthic	predator/scavenger	3.85	7.71	3.4E-04	2
158	Ammothea_carolinensis	Invertebrate	carnivorous	benthic	predator/scavenger	3.90	7.53	1.7E-01	2
159	Colossendeis_scotti	Invertebrate	carnivorous	benthic	predator/scavenger	3.90	9.6	3.7E+00	2
160	Nymphon_gracillimum	Invertebrate	carnivorous	benthic	predator/scavenger	3.90	8.5	2.0E-01	2
161	Pelagobia_longicirrata	Invertebrate	omnivorous	pelagic	predator	2.12	1.8	1.9E-03	2
162	Rhynchonereella_bongraini	Invertebrate	omnivorous	benthic	predator/scavenger	2.12	8.494	1.9E-03	2
163	Laetmonice_producta	Invertebrate	omnivorous	benthic	predator/scavenger	3.86	9.89	1.1E+02	2
164	Harmothoe_spinosa	Invertebrate	omnivorous	benthic	predator/scavenger	3.65	9.91	6.1E+00	2
165	Harmothoe_crosetensis	Invertebrate	omnivorous	benthic	predator/scavenger	3.67	9.46	5.8E+00	2
166	Harmotoe_hartmanae	Invertebrate	omnivorous	benthic	predator/scavenger	3.68	9.46	5.8E+00	2
167	Polyeunoa_laevis	Invertebrate	omnivorous	benthic	predator/scavenger	3.82	8.7	1.5E+01	2
168	Barrukia_cristata	Invertebrate	omnivorous	benthic	predator/scavenger	3.57	9.6	3.9E+00	2
169	Eulagisca_gigantea	Invertebrate	omnivorous	benthic	predator/scavenger	3.77	11.8	2.0E+02	2
170	Eunoe_spica	Invertebrate	omnivorous	benthic	predator/scavenger	3.91	10.5	4.2E+00	2
171	Eunoe_hartmanae	Invertebrate	omnivorous	benthic	predator/scavenger	3.76	8.494	5.7E+01	2
172	Eunoe_spica_spicoides	Invertebrate	omnivorous	benthic	predator/scavenger	3.82	8.494	7.1E+00	2
173	Vanadis_antarctica	Invertebrate	omnivorous	benthic	predator/scavenger	2.37	4.97	3.9E-03	2
174	Pista_spinifera	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	8.494	2.4E-01	2
175	Phyllocomus_crocea	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	5.15	4.7E-01	2
