Link ID	Link reference 	Body size reference	Geographic location	General habitat	Specific habitat	Link methodology	Body size methodology	Taxonomy consumer	Lifestage consumer	Common name(s) consumer	Metabolic category consumer	Type of feeding interaction	Minimum length (m) consumer	Mean length (m) consumer	Maximum length (m) consumer	Minimum mass (g) consumer	Mean mass (g) consumer	Maximum mass (g) consumer	Taxonomy resource	Lifestage - resource	Common name(s) resource	Metabolic category resource	Minimum length (m) resource	Mean length (m) resource	Maximum length (m) resource	Minimum mass (g) resource	Mean mass (g) resource	Maximum mass (g) resource	Consumer/resource body mass ratio	Notes		
14903	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Nitzschia sp.	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
14904	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Chaetoceros sp.	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
14905	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Flagellate	-999	Phytoplankton	photo-autotroph	-999	0.00003	-999	-999	-999	-999	1.30597E+15	-999
14906	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Distephanus sp.	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
14907	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	predacious	0.0012	0.0571	-999	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	0.00663	-999	-999	-999	108.0891864	-999
14908	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	predacious	0.0012	0.0571	-999	-999	-999	-999	Oithona	adult	Copepoda	Invertebrate	0.0002	0.0005	-999	-999	-999	-999	20945.88999	-999
14909	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Ampelisca richardsoni	adult	amphipod	invertebrate	detritivorous	-999	0.03	-999	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	2.71444E+12	-999
14910	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Ampelisca richardsoni	adult	amphipod	invertebrate	herbivorous	-999	0.03	-999	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	7.58325E+11	-999
14911	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene rossi	adult	amphipod	invertebrate	detritivorous	-999	0.04	-999	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	4.96652E+12	-999
14912	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene rossi	adult	amphipod	invertebrate	herbivorous	-999	0.04	-999	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	1.38748E+12	-999
